[2025-06-27T22:16:12.135858] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:14.253727] INFO: Starting notify file check
[2025-06-27T22:16:14.254120] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:14.254409] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:14.254429] INFO: Completed notify file check
[2025-06-27T22:16:19.254990] INFO: Starting notify file check
[2025-06-27T22:16:19.255516] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:19.255538] INFO: Completed notify file check
[2025-06-27T22:16:24.255999] INFO: Starting notify file check
[2025-06-27T22:16:24.256490] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:24.256512] INFO: Completed notify file check
[2025-06-27T22:16:29.257014] INFO: Starting notify file check
[2025-06-27T22:16:29.257466] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:29.257518] INFO: Completed notify file check
[2025-06-27T22:16:34.257883] INFO: Starting notify file check
[2025-06-27T22:16:34.258385] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:34.258408] INFO: Completed notify file check
[2025-06-27T22:16:39.258719] INFO: Starting notify file check
[2025-06-27T22:16:39.259165] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:39.259187] INFO: Completed notify file check
[2025-06-27T22:16:44.260269] INFO: Starting notify file check
[2025-06-27T22:16:44.260770] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:44.260792] INFO: Completed notify file check
[2025-06-27T22:16:45.330434] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:45.330603] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:46.260707] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:46.711781] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:47.159916] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:47.545402] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:47.892534] INFO: Command appended: notepad for agent stepharoos
[2025-06-27T22:16:49.261326] INFO: Starting notify file check
[2025-06-27T22:16:49.261944] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:49.262261] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:49.262279] INFO: Completed notify file check
[2025-06-27T22:16:54.262657] INFO: Starting notify file check
[2025-06-27T22:16:54.263315] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:54.263334] INFO: Completed notify file check
[2025-06-27T22:16:59.264094] INFO: Starting notify file check
[2025-06-27T22:16:59.264580] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:59.264600] INFO: Completed notify file check
[2025-06-27T22:17:04.264800] INFO: Starting notify file check
[2025-06-27T22:17:04.265266] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:04.265315] INFO: Completed notify file check
[2025-06-27T22:17:09.265462] INFO: Starting notify file check
[2025-06-27T22:17:09.265993] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:09.266013] INFO: Completed notify file check
[2025-06-27T22:17:13.792650] INFO: Command appended: explorer.exe for agent stepharoos
[2025-06-27T22:17:13.792859] INFO: Command appended: explorer.exe for agent stepharoos
[2025-06-27T22:17:14.266309] INFO: Starting notify file check
[2025-06-27T22:17:14.266804] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:14.266826] INFO: Completed notify file check
[2025-06-27T22:17:19.267400] INFO: Starting notify file check
[2025-06-27T22:17:19.267991] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:19.268280] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:19.268301] INFO: Completed notify file check
[2025-06-27T22:17:24.268811] INFO: Starting notify file check
[2025-06-27T22:17:24.269348] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:24.269370] INFO: Completed notify file check
[2025-06-27T22:17:29.269784] INFO: Starting notify file check
[2025-06-27T22:17:29.270444] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:29.270466] INFO: Completed notify file check
[2025-06-27T22:17:34.270976] INFO: Starting notify file check
[2025-06-27T22:17:34.271657] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:34.271679] INFO: Completed notify file check
[2025-06-27T22:17:34.435406] INFO: Command appended: msedge.exe youtube.com for agent stepharoos
[2025-06-27T22:17:34.435554] INFO: Command appended: msedge.exe youtube.com for agent stepharoos
[2025-06-27T22:17:39.272141] INFO: Starting notify file check
[2025-06-27T22:17:39.272629] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:39.272651] INFO: Completed notify file check
[2025-06-27T22:17:44.273360] INFO: Starting notify file check
[2025-06-27T22:17:44.274058] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:44.274341] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:44.274361] INFO: Completed notify file check
[2025-06-27T22:17:49.274728] INFO: Starting notify file check
[2025-06-27T22:17:49.275369] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:49.275399] INFO: Completed notify file check
[2025-06-27T22:17:54.275859] INFO: Starting notify file check
[2025-06-27T22:17:54.276419] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:17:54.276442] INFO: Completed notify file check
